gamma,Re L,Im L,|L|
11.8430,-1423.830488,154.297719,1432.166556
11.8630,-1411.622215,242.638396,1432.323521
11.8830,-1394.036281,330.030655,1432.570203
11.9030,-1371.144760,416.150206,1432.905770
11.9230,-1343.039142,500.678078,1433.329228
11.9430,-1309.829952,583.301780,1433.839416
11.9630,-1271.646297,663.716429,1434.435011
11.9830,-1228.635350,741.625845,1435.114531
12.0030,-1180.961769,816.743618,1435.876331
12.0230,-1128.807054,888.794132,1436.718613
12.0430,-1072.368839,957.513545,1437.639425
12.0630,-1011.860135,1022.650732,1438.636665
12.0830,-947.508515,1083.968167,1439.708087
12.1030,-879.555248,1141.242763,1440.851304
12.1230,-808.254385,1194.266654,1442.063796
12.1430,-733.871800,1242.847915,1443.342911
12.1630,-656.684198,1286.811232,1444.685876
12.1830,-576.978073,1325.998498,1446.089801
12.2031,-495.048646,1360.269354,1447.551684
12.2231,-411.198764,1389.501661,1449.068422
12.2431,-325.737782,1413.591900,1450.636813
12.2631,-238.980417,1432.455511,1452.253570
12.2831,-151.245593,1446.027155,1453.915321
12.3031,-62.855266,1454.260910,1455.618624
12.3231,25.866750,1457.130397,1457.359970
12.3431,114.595973,1454.628826,1459.135792
12.3631,203.008428,1446.768982,1460.942473
12.3831,290.781828,1433.583132,1462.776356
12.4031,377.596744,1415.122862,1464.633748
12.4231,463.137752,1391.458851,1466.510931
12.4431,547.094579,1362.680567,1468.404170
12.4631,629.163212,1328.895902,1470.309718
12.4831,709.046991,1290.230737,1472.223825
12.5031,786.457667,1246.828446,1474.142746
12.5231,861.116429,1198.849337,1476.062748
12.5431,932.754898,1146.470030,1477.980118
12.5631,1001.116070,1089.882782,1479.891166
12.5831,1065.955224,1029.294755,1481.792237
12.6032,1127.040785,964.927229,1483.679712
12.6232,1184.155125,897.014772,1485.550020
12.6432,1237.095326,825.804357,1487.399638
12.6632,1285.673876,751.554444,1489.225100
12.6832,1329.719316,674.534015,1491.023003
12.7032,1369.076817,595.021578,1492.790008
12.7232,1403.608709,513.304140,1494.522850
12.7432,1433.194934,429.676148,1496.218337
12.7632,1457.733439,344.438409,1497.873358
12.7832,1477.140503,257.896988,1499.484885
12.8032,1491.350997,170.362093,1501.049979
12.8232,1500.318575,82.146943,1502.565787
12.8432,1504.015794,-6.433367,1504.029553
12.8632,1502.434173,-95.063008,1505.438614
12.8832,1495.584174,-183.426559,1506.790404
12.9032,1483.495119,-271.210137,1508.082460
12.9232,1466.215042,-358.102531,1509.312416
12.9432,1443.810465,-443.796311,1510.478012
12.9632,1416.366121,-527.988930,1511.577090
12.9832,1383.984594,-610.383797,1512.607595
13.0033,1346.785916,-690.691332,1513.567580
13.0233,1304.907082,-768.629989,1514.455200
13.0433,1258.501523,-843.927249,1515.268717
13.0633,1207.738507,-916.320576,1516.006497
13.0833,1152.802493,-985.558335,1516.667010
13.1033,1093.892429,-1051.400669,1517.248830
13.1233,1031.220999,-1113.620330,1517.750634
13.1433,965.013824,-1172.003461,1518.171200
13.1633,895.508618,-1226.350329,1518.509405
13.1833,822.954303,-1276.476005,1518.764226
13.2033,747.610085,-1322.210988,1518.934737
13.2233,669.744497,-1363.401770,1519.020104
13.2433,589.634412,-1399.911345,1519.019589
13.2633,507.564026,-1431.619654,1518.932544
13.2833,423.823819,-1458.423968,1518.758408
13.3033,338.709496,-1480.239211,1518.496706
13.3233,252.520916,-1496.998211,1518.147047
13.3433,165.561001,-1508.651892,1517.709122
13.3633,78.134648,-1515.169399,1517.182695
13.3833,-9.452375,-1516.538154,1516.567611
13.4034,-96.894518,-1512.763848,1515.863783
13.4234,-183.887550,-1503.870371,1515.071194
13.4434,-270.129639,-1489.899666,1514.189894
13.4634,-355.322428,-1470.911530,1513.219996
13.4834,-439.172087,-1446.983344,1512.161671
13.5034,-521.390357,-1418.209744,1511.015149
13.5234,-601.695557,-1384.702229,1509.780715
13.5434,-679.813578,-1346.588709,1508.458701
13.5634,-755.478832,-1304.012998,1507.049489
13.5834,-828.435180,-1257.134247,1505.553507
13.6034,-898.436815,-1206.126332,1503.971223
13.6234,-965.249110,-1151.177175,1502.303143
13.6434,-1028.649416,-1092.488039,1500.549812
13.6634,-1088.427822,-1030.272754,1498.711804
13.6834,-1144.387861,-964.756919,1496.789728
13.7034,-1196.347168,-896.177052,1494.784217
13.7234,-1244.138083,-824.779710,1492.695930
13.7434,-1287.608202,-750.820574,1490.525550
13.7634,-1326.620867,-674.563503,1488.273780
13.7834,-1361.055599,-596.279565,1485.941340
13.8035,-1390.808476,-516.246042,1483.528965
13.8235,-1415.792438,-434.745415,1481.037408
13.8435,-1435.937546,-352.064341,1478.467429
13.8635,-1451.191166,-268.492612,1475.819800
13.8835,-1461.518093,-184.322107,1473.095304
13.9035,-1466.900614,-99.845743,1470.294727
13.9235,-1467.338509,-15.356425,1467.418863
13.9435,-1462.848981,68.854004,1464.468509
13.9635,-1453.466533,152.495795,1461.444467
13.9835,-1439.242778,235.282328,1458.347540
14.0035,-1420.246186,316.931117,1455.178533
14.0235,-1396.561777,397.164810,1451.938250
14.0435,-1368.290750,475.712155,1448.627499
14.0635,-1335.550059,552.308950,1445.247085
14.0835,-1298.471930,626.698954,1441.797812
14.1035,-1257.203327,698.634776,1438.280486
14.1235,-1211.905370,767.878722,1434.695911
14.1435,-1162.752694,834.203603,1431.044891
14.1635,-1109.932775,897.393507,1427.328228
14.1835,-1053.645199,957.244524,1423.546728
14.2036,-994.100905,1013.565424,1419.701193
14.2236,-931.521372,1066.178286,1415.792430
14.2436,-866.137789,1114.919082,1411.821246
14.2636,-798.190181,1159.638201,1407.788450
14.2836,-727.926511,1200.200919,1403.694857
14.3036,-655.601760,1236.487824,1399.541284
14.3236,-581.476975,1268.395168,1395.328554
14.3436,-505.818316,1295.835171,1391.057497
14.3636,-428.896069,1318.736266,1386.728949
14.3836,-350.983665,1337.043278,1382.343756
14.4036,-272.356681,1350.717546,1377.902773
14.4236,-193.291844,1359.736990,1373.406865
14.4436,-114.066027,1364.096106,1368.856912
14.4636,-34.955262,1363.805915,1364.253804
14.4836,43.766254,1358.893834,1359.598447
14.5036,121.827132,1349.403512,1354.891763
14.5236,198.959754,1335.394583,1350.134688
14.5436,274.901217,1316.942378,1345.328178
14.5636,349.394254,1294.137581,1340.473208
14.5836,422.188133,1267.085817,1335.570772
14.6037,493.039527,1235.907206,1330.621883
14.6237,561.713353,1200.735851,1325.627578
14.6437,627.983577,1161.719289,1320.588914
14.6637,691.633981,1119.017886,1315.506972
14.6837,752.458894,1072.804193,1310.382854
14.7037,810.263879,1023.262264,1305.217689
14.7237,864.866375,970.586925,1300.012625
14.7437,916.096294,914.983019,1294.768838
14.7637,963.796570,856.664609,1289.487526
14.7837,1007.823654,795.854156,1284.169910
14.8037,1048.047967,732.781670,1278.817234
14.8237,1084.354284,667.683833,1273.430765
14.8437,1116.642080,600.803108,1268.011794
14.8637,1144.825808,532.386828,1262.561629
14.8837,1168.835130,462.686272,1257.081600
14.9037,1188.615084,391.955730,1251.573055
14.9237,1204.126198,320.451565,1246.037361
14.9437,1215.344544,248.431269,1240.475899
14.9637,1222.261737,176.152519,1234.890062
14.9837,1224.884879,103.872241,1229.281257
15.0038,1223.236436,31.845679,1223.650900
15.0238,1217.354073,-39.674527,1218.000414
15.0438,1207.290426,-110.439245,1212.331225
15.0638,1193.112817,-180.203739,1206.644762
15.0838,1174.902928,-248.728537,1200.942453
15.1038,1152.756410,-315.780271,1195.225720
15.1238,1126.782452,-381.132501,1189.495977
15.1438,1097.103300,-444.566492,1183.754627
15.1638,1063.853727,-505.871975,1178.003060
15.1838,1027.180465,-564.847862,1172.242643
15.2038,987.241588,-621.302928,1166.474724
15.2238,944.205869,-675.056451,1160.700622
15.2438,898.252084,-725.938809,1154.921626
15.2638,849.568299,-773.792039,1149.138988
15.2838,798.351113,-818.470337,1143.353923
15.3038,744.804884,-859.840524,1137.567599
15.3238,689.140922,-897.782452,1131.781137
15.3438,631.576668,-932.189367,1125.995606
15.3638,572.334847,-962.968213,1120.212015
15.3838,511.642614,-990.039890,1114.431311
15.4039,449.730678,-1013.339453,1108.654378
15.4239,386.832432,-1032.816260,1102.882023
15.4439,323.183063,-1048.434068,1097.114983
15.4639,259.018668,-1060.171067,1091.353912
15.4839,194.575373,-1068.019868,1085.599380
15.5039,130.088450,-1071.987433,1079.851870
15.5239,65.791449,-1072.094952,1074.111773
15.5439,1.915341,-1068.377666,1068.379383
15.5639,-61.312334,-1060.884642,1062.654895
15.5839,-123.668287,-1049.678494,1056.938403
15.6039,-184.934291,-1034.835056,1051.229891
15.6239,-244.897961,-1016.443003,1045.529239
15.6439,-303.353511,-994.603437,1039.836213
15.6639,-360.102482,-969.429413,1034.150465
15.6839,-414.954436,-941.045435,1028.471533
15.7039,-467.727618,-909.586904,1022.798837
15.7239,-518.249579,-875.199534,1017.131678
15.7439,-566.357762,-838.038725,1011.469238
15.7639,-611.900046,-798.268910,1005.810578
15.7839,-654.735247,-756.062869,1000.154641
15.8040,-694.733578,-711.601010,994.500247
15.8240,-731.777055,-665.070634,988.846099
15.8440,-765.759867,-616.665173,983.190779
15.8640,-796.588684,-566.583407,977.532756
15.8840,-824.182931,-515.028669,971.870379
15.9040,-848.474995,-462.208039,966.201888
15.9240,-869.410395,-408.331520,960.525411
15.9440,-886.947894,-353.611217,954.838970
15.9640,-901.059558,-298.260504,949.140483
15.9840,-911.730772,-242.493199,943.427768
16.0040,-918.960193,-186.522740,937.698549
16.0240,-922.759660,-130.561357,931.950459
16.0440,-923.154054,-74.819274,926.181046
16.0640,-920.181103,-19.503901,920.387779
16.0840,-913.891144,35.180943,914.568052
16.1040,-904.346833,89.035795,908.719191
16.1240,-891.622816,141.866290,902.838463
16.1440,-875.805342,193.483881,896.923079
16.1640,-856.991850,243.706530,890.970204
16.1840,-835.290503,292.359370,884.976964
16.2041,-810.819686,339.275338,878.940452
16.2241,-783.707466,384.295769,872.857738
16.2441,-754.091023,427.270962,866.725877
16.2641,-722.116040,468.060696,860.541917
16.2841,-687.936069,506.534719,854.302907
16.3041,-651.711866,542.573184,848.005906
16.3241,-613.610707,576.067052,841.647995
16.3441,-573.805673,606.918440,835.226283
16.3641,-532.474929,635.040929,828.737915
16.3841,-489.800969,660.359831,822.180087
16.4041,-445.969870,682.812391,815.550051
16.4241,-401.170513,702.347961,808.845126
16.4441,-355.593818,718.928110,802.062710
16.4641,-309.431958,732.526695,795.200286
16.4841,-262.877583,743.129874,788.255437
16.5041,-216.123042,750.736080,781.225851
16.5241,-169.359610,755.355935,774.109338
16.5441,-122.776722,757.012130,766.903833
16.5641,-76.561227,755.739243,759.607415
16.5841,-30.896641,751.583518,752.218310
16.6042,14.037571,744.602601,744.734910
16.6242,58.066695,734.865225,737.155778
16.6442,101.021452,722.450859,729.479662
16.6642,142.738649,707.449306,721.705509
16.6842,183.061807,689.960273,713.832476
16.7042,221.841759,670.092897,705.859941
16.7242,258.937213,647.965233,697.787520
16.7442,294.215284,623.703712,689.615077
16.7642,327.551988,597.442571,681.342740
16.7842,358.832696,569.323243,672.970920
16.8042,387.952554,539.493735,664.500319
16.8242,414.816852,508.107969,655.931955
16.8442,439.341362,475.325110,647.267173
16.8642,461.452624,441.308872,638.507670
16.8842,481.088187,406.226808,629.655511
16.9042,498.196807,370.249594,620.713155
16.9242,512.738603,333.550289,611.683472
16.9442,524.685153,296.303605,602.569777
16.9642,534.019557,258.685160,593.375850
16.9842,540.736445,220.870734,584.105970
17.0043,544.841936,183.035534,574.764945
17.0243,546.353560,145.353450,565.358150
17.0443,545.300121,107.996331,555.891562
17.0643,541.721522,71.133269,546.371805
17.0843,535.668545,34.929892,536.806192
17.1043,527.202585,-0.452324,527.202779
17.1243,516.395336,-34.856718,517.570414
17.1443,503.328447,-68.132096,507.918801
17.1643,488.093131,-100.133349,498.258559
17.1843,470.789732,-130.722052,488.601296
17.2043,451.527265,-159.767023,478.959677
17.2243,430.422911,-187.144867,469.347508
17.2443,407.601491,-212.740469,459.779819
17.2643,383.194896,-236.447463,450.272952
17.2843,357.341504,-258.168661,440.844653
17.3043,330.185556,-277.816439,431.514165
17.3243,301.876522,-295.313089,422.302326
17.3443,272.568438,-310.591126,413.231655
17.3643,242.419232,-323.593550,404.326439
17.3843,211.590026,-334.274065,395.612803
17.4044,180.244437,-342.597261,387.118767
17.4244,148.547858,-348.538733,378.874273
17.4444,116.666740,-352.085174,370.911173
17.4644,84.767868,-353.234409,363.263181
17.4844,53.017633,-351.995383,355.965756
17.5044,21.581316,-348.388111,349.055911
17.5244,-9.377635,-342.443573,342.571950
17.5444,-39.698312,-334.203567,336.553087
17.5644,-69.223042,-323.720520,331.038977
17.5844,-97.798075,-311.057246,326.069124
17.6044,-125.274250,-296.286674,321.682189
17.6244,-151.507641,-279.491519,317.915200
17.6444,-176.360185,-260.763926,314.802700
17.6644,-199.700282,-240.205061,312.375854
17.6844,-221.403373,-217.924681,310.661585
17.7044,-241.352480,-194.040648,309.681760
17.7244,-259.438723,-168.678429,309.452522
17.7444,-275.561800,-141.970550,309.983778
17.7644,-289.630431,-114.056023,311.278915
17.7844,-301.562767,-85.079755,313.334752
17.8045,-311.286755,-55.191915,316.141727
17.8245,-318.740470,-24.547297,319.684308
17.8445,-323.872396,6.695354,323.941595
17.8645,-326.641675,38.374019,328.888050
17.8845,-327.018300,70.324105,334.494317
17.9045,-324.983272,102.379157,340.728072
17.9245,-320.528707,134.371572,347.554846
17.9445,-313.657899,166.133324,354.938810
17.9645,-304.385336,197.496695,362.843461
17.9845,-292.736668,228.294996,371.232221
18.0045,-278.748630,258.363297,380.068931
18.0245,-262.468920,287.539143,389.318241
18.0445,-243.956027,315.663264,398.945910
18.0645,-223.279019,342.580271,408.919017
18.0845,-200.517286,368.139346,419.206107
18.1045,-175.760231,392.194903,429.777268
18.1245,-149.106933,414.607235,440.604173
18.1445,-120.665759,435.243142,451.660070
18.1645,-90.553937,453.976527,462.919758
18.1845,-58.897095,470.688967,474.359538
18.2046,-25.828764,485.270255,485.957143
18.2246,8.510159,497.618911,497.691675
18.2446,43.971973,507.642654,509.543520
18.2646,80.402767,515.258844,521.494278
18.2846,117.643047,520.394878,533.526678
18.3046,155.528379,522.988555,545.624509
18.3246,193.890062,522.988390,557.772546
18.3446,232.555817,520.353899,569.956479
18.3646,271.350494,515.055820,582.162854
18.3846,310.096795,507.076310,594.379009
18.4046,348.616007,496.409081,606.593023
18.4246,386.728746,483.059496,618.793665
18.4446,424.255701,467.044619,630.970345
18.4646,461.018389,448.393209,643.113073
18.4846,496.839904,427.145681,655.212426
18.5046,531.545664,403.354002,667.259503
18.5246,564.964155,377.081555,679.245902
18.5446,596.927658,348.402946,691.163687
18.5646,627.272977,317.403771,703.005364
18.5846,655.842136,284.180333,714.763855
18.6047,682.483073,248.839314,726.432481
18.6247,707.050304,211.497409,738.004936
18.6447,729.405565,172.280915,749.475278
18.6647,749.418433,131.325274,760.837904
18.6847,766.966914,88.774586,772.087543
18.7047,781.938000,44.781078,783.219241
18.7247,794.228193,-0.495455,794.228347
18.7447,803.743998,-46.888255,805.110503
18.7647,810.402373,-94.224223,815.861636
18.7847,814.131140,-142.324577,826.477948
18.8047,814.869361,-191.005534,836.955906
18.8247,812.567660,-240.079017,847.292237
18.8447,807.188512,-289.353383,857.483920
18.8647,798.706480,-338.634168,867.528179
18.8847,787.108408,-387.724843,877.422476
18.9047,772.393564,-436.427595,887.164508
18.9247,754.573736,-484.544100,896.752200
18.9447,733.673277,-531.876320,906.183700
18.9647,709.729109,-578.227287,915.457374
18.9847,682.790663,-623.401901,924.571803
19.0048,652.919780,-667.207714,933.525776
19.0248,620.190564,-709.455719,942.318286
19.0448,584.689175,-749.961117,950.948531
19.0648,546.513585,-788.544084,959.415901
19.0848,505.773281,-825.030517,967.719983
19.1048,462.588919,-859.252760,975.860551
19.1248,417.091942,-891.050315,983.837564
19.1448,369.424136,-920.270523,991.651163
19.1648,319.737165,-946.769226,999.301667
19.1848,268.192048,-970.411386,1006.789568
19.2048,214.958602,-991.071694,1014.115527
19.2248,160.214850,-1008.635119,1021.280373
19.2448,104.146390,-1022.997443,1028.285096
19.2648,46.945736,-1034.065743,1035.130844
19.2848,-11.188382,-1041.758838,1041.818918
19.3048,-70.051733,-1046.007692,1048.350770
19.3248,-129.435335,-1046.755773,1054.728000
19.3448,-189.126224,-1043.959365,1060.952347
19.3648,-248.908242,-1037.587832,1067.025689
19.3848,-308.562847,-1027.623837,1072.950037
19.4049,-367.869931,-1014.063508,1078.727530
19.4249,-426.608651,-996.916551,1084.360434
19.4449,-484.558270,-976.206318,1089.851133
19.4649,-541.499002,-951.969818,1095.202129
19.4849,-597.212851,-924.257679,1100.416033
19.5049,-651.484463,-893.134053,1105.495564
19.5249,-704.101959,-858.676478,1110.443543
19.5449,-754.857765,-820.975676,1115.262887
19.5649,-803.549436,-780.135312,1119.956607
19.5849,-849.980452,-736.271691,1124.527800
19.6049,-893.961015,-689.513416,1128.979649
19.6249,-935.308805,-640.000987,1133.315412
19.6449,-973.849727,-587.886361,1137.538423
19.6649,-1009.418627,-533.332460,1141.652082
19.6849,-1041.859976,-476.512639,1145.659855
19.7049,-1071.028522,-417.610111,1149.565265
19.7249,-1096.789914,-356.817324,1153.371891
19.7449,-1119.021278,-294.335314,1157.083358
19.7649,-1137.611760,-230.373005,1160.703338
19.7849,-1152.463029,-165.146489,1164.235542
19.8050,-1163.489727,-98.878268,1167.683715
19.8250,-1170.619883,-31.796469,1171.051633
19.8450,-1173.795272,35.865969,1174.343097
19.8650,-1172.971730,103.872126,1177.561929
19.8850,-1168.119411,171.981955,1180.711968
19.9050,-1159.223004,239.953153,1183.797063
19.9250,-1146.281882,307.542044,1186.821074
19.9450,-1129.310210,374.504473,1189.787860
19.9650,-1108.336993,440.596709,1192.701282
19.9850,-1083.406064,505.576344,1195.565197
20.0050,-1054.576029,569.203205,1198.383449
20.0250,-1021.920147,631.240250,1201.159873
20.0450,-985.526157,691.454465,1203.898286
20.0650,-945.496050,749.617755,1206.602486
20.0850,-901.945792,805.507805,1209.276245
20.1050,-855.004988,858.908948,1211.923310
20.1250,-804.816491,909.612994,1214.547399
20.1450,-751.535972,957.420046,1217.152193
20.1650,-695.331425,1002.139286,1219.741341
20.1850,-636.382635,1043.589735,1222.318450
20.2051,-574.880594,1081.600978,1224.887086
20.2251,-511.026877,1116.013858,1227.450773
20.2451,-445.032965,1146.681125,1230.012985
20.2651,-377.119546,1173.468057,1232.577151
20.2851,-307.515758,1196.253024,1235.146646
20.3051,-236.458413,1214.928017,1237.724795
20.3251,-164.191176,1229.399132,1240.314866
20.3451,-90.963725,1239.586990,1242.920072
20.3651,-17.030881,1245.427128,1245.543569
20.3851,57.348296,1246.870315,1248.188451
20.4051,131.911410,1243.882832,1250.857754
20.4251,206.393673,1236.446689,1253.554452
20.4451,280.528843,1224.559782,1256.281454
20.4651,354.050187,1208.236002,1259.041608
20.4851,426.691438,1187.505277,1261.837694
20.5051,498.187768,1162.413566,1264.672429
20.5251,568.276755,1133.022785,1267.548461
20.5451,636.699342,1099.410676,1270.468373
20.5651,703.200796,1061.670626,1273.434678
20.5851,767.531655,1019.911420,1276.449821
20.6052,829.448658,974.256935,1279.516178
20.6252,888.715658,924.845789,1282.636057
20.6452,945.104518,871.830920,1285.811691
20.6652,998.395978,815.379126,1289.045246
20.6852,1048.380492,755.670536,1292.338816
20.7052,1094.859046,692.898047,1295.694422
20.7252,1137.643927,627.266697,1299.114012
20.7452,1176.559467,558.993002,1302.599461
20.7652,1211.442739,488.304241,1306.152572
20.7852,1242.144216,415.437704,1309.775072
20.8052,1268.528383,340.639892,1313.468612
20.8252,1290.474301,264.165691,1317.234768
20.8452,1307.876123,186.277501,1321.075040
20.8652,1320.643555,107.244343,1324.990849
20.8852,1328.702268,27.340926,1328.983538
20.9052,1331.994250,-53.153299,1333.054370
20.9252,1330.478103,-133.955111,1337.204530
20.9452,1324.129285,-214.778516,1341.435118
20.9652,1312.940286,-295.335747,1345.747153
20.9852,1296.920749,-375.338287,1350.141570
21.0053,1276.097528,-454.497890,1354.619220
21.0253,1250.514683,-532.527609,1359.180866
21.0453,1220.233419,-609.142831,1363.827183
21.0653,1185.331957,-684.062298,1368.558759
21.0853,1145.905347,-757.009126,1373.376089
21.1053,1102.065217,-827.711816,1378.279578
21.1253,1053.939467,-895.905246,1383.269536
21.1453,1001.671895,-961.331645,1388.346181
21.1653,945.421774,-1023.741549,1393.509631
21.1853,885.363366,-1082.894727,1398.759908
21.2053,821.685378,-1138.561085,1404.096936
21.2253,754.590373,-1190.521529,1409.520536
21.2453,684.294117,-1238.568802,1415.030429
21.2653,611.024888,-1282.508275,1420.626231
21.2853,535.022728,-1322.158702,1426.307454
21.3053,456.538655,-1357.352931,1432.073505
21.3253,375.833829,-1387.938560,1437.923682
21.3453,293.178681,-1413.778556,1443.857176
21.3653,208.852006,-1434.751810,1449.873069
21.3853,123.140015,-1450.753648,1455.970333
21.4054,36.335368,-1461.696280,1462.147829
21.4254,-51.263833,-1467.509192,1468.404307
21.4454,-139.355060,-1468.139478,1474.738404
21.4654,-227.632411,-1463.552116,1481.148646
21.4854,-315.787666,-1453.730174,1487.633446
21.5054,-403.511362,-1438.674959,1494.191104
21.5254,-490.493877,-1418.406097,1500.819809
21.5454,-576.426514,-1392.961558,1507.517637
21.5654,-661.002594,-1362.397600,1514.282552
21.5854,-743.918539,-1326.788667,1521.112408
21.6054,-824.874957,-1286.227206,1528.004948
21.6254,-903.577706,-1240.823433,1534.957805
21.6454,-979.738955,-1190.705023,1541.968506
21.6654,-1053.078219,-1136.016748,1549.034469
21.6854,-1123.323376,-1076.920045,1556.153010
21.7054,-1190.211659,-1013.592529,1563.321339
21.7254,-1253.490617,-946.227444,1570.536565
21.7454,-1312.919043,-875.033059,1577.795699
21.7654,-1368.267874,-800.232005,1585.095655
21.7854,-1419.321037,-722.060563,1592.433252
21.8055,-1465.876269,-640.767897,1599.805218
21.8255,-1507.745880,-556.615246,1607.208192
21.8455,-1544.757473,-469.875058,1614.638727
21.8655,-1576.754609,-380.830094,1622.093295
21.8855,-1603.597429,-289.772486,1629.568288
21.9055,-1625.163202,-197.002758,1637.060024
21.9255,-1641.346837,-102.828816,1644.564747
21.9455,-1652.061315,-7.564907,1652.078635
21.9655,-1657.238071,88.469448,1659.597803
21.9855,-1656.827311,184.950544,1667.118304
22.0055,-1650.798261,281.551595,1674.636140
22.0255,-1639.139356,377.943865,1682.147257
22.0455,-1621.858353,473.797796,1689.647558
22.0655,-1598.982390,568.784150,1697.132904
22.0855,-1570.557964,662.575156,1704.599119
22.1055,-1536.650850,754.845648,1712.041994
22.1255,-1497.345950,845.274208,1719.457293
22.1455,-1452.747075,933.544290,1726.840758
22.1655,-1402.976656,1019.345341,1734.188115
22.1855,-1348.175395,1102.373894,1741.495076
22.2056,-1288.501851,1182.334654,1748.757345
22.2256,-1224.131952,1258.941543,1755.970628
22.2456,-1155.258462,1331.918728,1763.130629
22.2656,-1082.090370,1401.001617,1770.233064
22.2856,-1004.852231,1465.937809,1777.273661
22.3056,-923.783450,1526.488016,1784.248168
22.3256,-839.137506,1582.426936,1791.152356
22.3456,-751.181129,1633.544084,1797.982025
22.3656,-660.193429,1679.644568,1804.733010
22.3856,-566.464975,1720.549820,1811.401184
22.4056,-470.296834,1756.098271,1817.982467
22.4256,-371.999569,1786.145965,1824.472824
22.4456,-271.892204,1810.567118,1830.868280
22.4656,-170.301150,1829.254614,1837.164915
22.4856,-67.559110,1842.120438,1843.358875
22.5056,35.996049,1849.096043,1849.446374
22.5256,140.022442,1850.132652,1855.423702
22.5456,244.175326,1845.201492,1861.287225
22.5656,348.108282,1834.293955,1867.033393
22.5856,451.474395,1817.421699,1872.658742
22.6057,553.927451,1794.616669,1878.159900
22.6257,655.123128,1765.931052,1883.533592
22.6457,754.720184,1731.437162,1888.776642
22.6657,852.381641,1691.227256,1893.885977
22.6857,947.775955,1645.413276,1898.858634
22.7057,1040.578173,1594.126526,1903.691759
22.7257,1130.471065,1537.517277,1908.382615
22.7457,1217.146242,1475.754312,1912.928583
22.7657,1300.305236,1409.024398,1917.327165
22.7857,1379.660555,1337.531696,1921.575990
22.8057,1454.936703,1261.497116,1925.672813
22.8257,1525.871155,1181.157603,1929.615522
22.8457,1592.215298,1096.765367,1933.402138
22.8657,1653.735323,1008.587067,1937.030818
22.8857,1710.213063,916.902931,1940.499860
22.9057,1761.446787,822.005835,1943.807700
22.9257,1807.251935,724.200329,1946.952920
22.9457,1847.461798,623.801629,1949.934247
22.9657,1881.928131,521.134562,1952.750553
22.9857,1910.521716,416.532477,1955.400862
23.0058,1933.132846,310.336127,1957.884346
23.0258,1949.671756,202.892516,1960.200329
23.0458,1960.068977,94.553731,1962.348288
23.0658,1964.275626,-14.324256,1964.327855
23.0858,1962.263621,-123.382796,1966.138813
23.1058,1954.025828,-232.261786,1967.781104
23.1258,1939.576137,-340.600898,1969.254824
23.1458,1918.949459,-448.040813,1970.560224
23.1658,1892.201660,-554.224453,1971.697712
23.1858,1859.409414,-658.798213,1972.667852
23.2058,1820.669987,-761.413172,1973.471363
23.2258,1776.100951,-861.726308,1974.109120
23.2458,1725.839826,-959.401677,1974.582154
23.2658,1670.043648,-1054.111583,1974.891646
23.2858,1608.888478,-1145.537716,1975.038935
23.3058,1542.568835,-1233.372266,1975.025508
23.3258,1471.297071,-1317.318991,1974.853006
23.3458,1395.302676,-1397.094262,1974.523217
23.3658,1314.831531,-1472.428056,1974.038079
23.3858,1230.145094,-1543.064911,1973.399673
23.4059,1141.519538,-1608.764824,1972.610228
23.4259,1049.244831,-1669.304108,1971.672113
23.4459,953.623773,-1724.476188,1970.587837
23.4659,854.970977,-1774.092338,1969.360047
23.4859,753.611817,-1817.982364,1967.991526
23.5059,649.881330,-1855.995219,1966.485188
23.5259,544.123088,-1887.999554,1964.844078
23.5459,436.688034,-1913.884206,1963.071368
23.5659,327.933293,-1933.558611,1961.170352
23.5859,218.220958,-1946.953152,1959.144446
23.6059,107.916856,-1954.019430,1956.997184
23.6259,-2.610696,-1954.730470,1954.732213
23.6459,-112.992156,-1949.080845,1952.353290
23.6659,-222.858014,-1937.086732,1949.864278
23.6859,-331.840069,-1918.785890,1947.269145
23.7059,-439.572684,-1894.237564,1944.571957
23.7259,-545.694052,-1863.522317,1941.776873
23.7459,-649.847440,-1826.741785,1938.888147
23.7659,-751.682420,-1784.018362,1935.910115
23.7859,-850.856083,-1735.494807,1932.847200
23.8060,-947.034227,-1681.333790,1929.703899
23.8260,-1039.892514,-1621.717359,1926.484786
23.8460,-1129.117602,-1556.846343,1923.194502
23.8660,-1214.408235,-1486.939689,1919.837754
23.8860,-1295.476293,-1412.233740,1916.419308
23.9060,-1372.047803,-1332.981439,1912.943985
23.9260,-1443.863897,-1249.451489,1909.416659
23.9460,-1510.681724,-1161.927452,1905.842248
23.9660,-1572.275304,-1070.706788,1902.225711
23.9860,-1628.436329,-976.099859,1898.572045
24.0060,-1678.974902,-878.428870,1894.886277
24.0260,-1723.720214,-778.026787,1891.173460
24.0460,-1762.521154,-675.236196,1887.438672
24.0660,-1795.246858,-570.408142,1883.687004
24.0860,-1821.787179,-463.900932,1879.923563
24.1060,-1842.053098,-356.078909,1876.153460
24.1260,-1855.977050,-247.311208,1872.381810
24.1460,-1863.513189,-137.970490,1868.613727
24.1660,-1864.637568,-28.431663,1864.854316
24.1860,-1859.348249,80.929406,1861.108670
24.2061,-1847.665339,189.737183,1857.381868
24.2261,-1829.630939,297.617760,1853.678965
24.2461,-1805.309035,404.200151,1850.004993
24.2661,-1774.785294,509.117563,1846.364951
